,full,long,lat,order,hole,piece,group,fips,abbr,V2,State,Median_IBU,l_state
56,Alabama,1091778.853,-1380694.983,1,FALSE,1,1.1,1,AL,AL, AL,43,alabama
57,Alabama,1091267.955,-1376372.376,2,FALSE,1,1.1,1,AL,AL, AL,43,alabama
58,Alabama,1091139.945,-1362997.837,3,FALSE,1,1.1,1,AL,AL, AL,43,alabama
59,Alabama,1090940.309,-1343517.193,4,FALSE,1,1.1,1,AL,AL, AL,43,alabama
60,Alabama,1090913.433,-1341005.686,5,FALSE,1,1.1,1,AL,AL, AL,43,alabama
61,Alabama,1090796.333,-1334479.785,6,FALSE,1,1.1,1,AL,AL, AL,43,alabama
62,Alabama,1090235.405,-1304437.557,7,FALSE,1,1.1,1,AL,AL, AL,43,alabama
63,Alabama,1089943.673,-1289528.07,8,FALSE,1,1.1,1,AL,AL, AL,43,alabama
64,Alabama,1089450.746,-1265303.768,9,FALSE,1,1.1,1,AL,AL, AL,43,alabama
65,Alabama,1089305.19,-1258363.011,10,FALSE,1,1.1,1,AL,AL, AL,43,alabama
66,Alabama,1088841.803,-1236850.877,11,FALSE,1,1.1,1,AL,AL, AL,43,alabama
67,Alabama,1088610.754,-1225223.588,12,FALSE,1,1.1,1,AL,AL, AL,43,alabama
68,Alabama,1088044.155,-1197805.291,13,FALSE,1,1.1,1,AL,AL, AL,43,alabama
69,Alabama,1087646.94,-1179413.789,14,FALSE,1,1.1,1,AL,AL, AL,43,alabama
70,Alabama,1087573.539,-1174259.268,15,FALSE,1,1.1,1,AL,AL, AL,43,alabama
71,Alabama,1087044.779,-1139232.897,16,FALSE,1,1.1,1,AL,AL, AL,43,alabama
72,Alabama,1086989.434,-1136082.479,17,FALSE,1,1.1,1,AL,AL, AL,43,alabama
73,Alabama,1086512.772,-1109876.867,18,FALSE,1,1.1,1,AL,AL, AL,43,alabama
74,Alabama,1086209.968,-1094008.101,19,FALSE,1,1.1,1,AL,AL, AL,43,alabama
75,Alabama,1085948.695,-1080746.017,20,FALSE,1,1.1,1,AL,AL, AL,43,alabama
76,Alabama,1085856.761,-1076167.661,21,FALSE,1,1.1,1,AL,AL, AL,43,alabama
77,Alabama,1085367.35,-1046019.914,22,FALSE,1,1.1,1,AL,AL, AL,43,alabama
78,Alabama,1079812.271,-1043421.853,23,FALSE,1,1.1,1,AL,AL, AL,43,alabama
79,Alabama,1074677.879,-1035934.755,24,FALSE,1,1.1,1,AL,AL, AL,43,alabama
80,Alabama,1074242.857,-1034606.502,25,FALSE,1,1.1,1,AL,AL, AL,43,alabama
81,Alabama,1092599.695,-1032234.046,26,FALSE,1,1.1,1,AL,AL, AL,43,alabama
82,Alabama,1093965.014,-1032041.592,27,FALSE,1,1.1,1,AL,AL, AL,43,alabama
83,Alabama,1105978.865,-1030337.264,28,FALSE,1,1.1,1,AL,AL, AL,43,alabama
84,Alabama,1126480.785,-1027550.976,29,FALSE,1,1.1,1,AL,AL, AL,43,alabama
85,Alabama,1128191.632,-1027321.727,30,FALSE,1,1.1,1,AL,AL, AL,43,alabama
86,Alabama,1162712.056,-1022611.789,31,FALSE,1,1.1,1,AL,AL, AL,43,alabama
87,Alabama,1163377.799,-1022519.375,32,FALSE,1,1.1,1,AL,AL, AL,43,alabama
88,Alabama,1163913.397,-1022448.607,33,FALSE,1,1.1,1,AL,AL, AL,43,alabama
89,Alabama,1197755.991,-1017898.622,34,FALSE,1,1.1,1,AL,AL, AL,43,alabama
90,Alabama,1202511.268,-1017246.917,35,FALSE,1,1.1,1,AL,AL, AL,43,alabama
91,Alabama,1202513.069,-1017246.641,36,FALSE,1,1.1,1,AL,AL, AL,43,alabama
92,Alabama,1230970.112,-1012830.007,37,FALSE,1,1.1,1,AL,AL, AL,43,alabama
93,Alabama,1244375.994,-1010602.129,38,FALSE,1,1.1,1,AL,AL, AL,43,alabama
94,Alabama,1245049.299,-1010489.584,39,FALSE,1,1.1,1,AL,AL, AL,43,alabama
95,Alabama,1285343.545,-1004230.183,40,FALSE,1,1.1,1,AL,AL, AL,43,alabama
96,Alabama,1308635.685,-1000510.718,41,FALSE,1,1.1,1,AL,AL, AL,43,alabama
97,Alabama,1310566.849,-1007000.78,42,FALSE,1,1.1,1,AL,AL, AL,43,alabama
98,Alabama,1312765.162,-1013808.373,43,FALSE,1,1.1,1,AL,AL, AL,43,alabama
99,Alabama,1316573.184,-1025594.21,44,FALSE,1,1.1,1,AL,AL, AL,43,alabama
100,Alabama,1321163.025,-1039039.729,45,FALSE,1,1.1,1,AL,AL, AL,43,alabama
101,Alabama,1322439.493,-1042776.761,46,FALSE,1,1.1,1,AL,AL, AL,43,alabama
102,Alabama,1324794.234,-1049668.012,47,FALSE,1,1.1,1,AL,AL, AL,43,alabama
103,Alabama,1326592.407,-1054928.199,48,FALSE,1,1.1,1,AL,AL, AL,43,alabama
104,Alabama,1331295.07,-1068863.299,49,FALSE,1,1.1,1,AL,AL, AL,43,alabama
105,Alabama,1333362.599,-1074985.765,50,FALSE,1,1.1,1,AL,AL, AL,43,alabama
106,Alabama,1339159.34,-1092138.071,51,FALSE,1,1.1,1,AL,AL, AL,43,alabama
107,Alabama,1340679.029,-1096865.23,52,FALSE,1,1.1,1,AL,AL, AL,43,alabama
108,Alabama,1344684.877,-1109319.893,53,FALSE,1,1.1,1,AL,AL, AL,43,alabama
109,Alabama,1344684.921,-1109320.031,54,FALSE,1,1.1,1,AL,AL, AL,43,alabama
110,Alabama,1346858.3,-1115977.455,55,FALSE,1,1.1,1,AL,AL, AL,43,alabama
111,Alabama,1351516.818,-1130238.602,56,FALSE,1,1.1,1,AL,AL, AL,43,alabama
112,Alabama,1355516.71,-1142482.599,57,FALSE,1,1.1,1,AL,AL, AL,43,alabama
113,Alabama,1359813.909,-1155627.11,58,FALSE,1,1.1,1,AL,AL, AL,43,alabama
114,Alabama,1361446.921,-1160643.066,59,FALSE,1,1.1,1,AL,AL, AL,43,alabama
115,Alabama,1363348.139,-1166481.071,60,FALSE,1,1.1,1,AL,AL, AL,43,alabama
116,Alabama,1373717.689,-1198289.251,61,FALSE,1,1.1,1,AL,AL, AL,43,alabama
117,Alabama,1374464.086,-1200576.645,62,FALSE,1,1.1,1,AL,AL, AL,43,alabama
